Attribute_name,Attribute_definition,Column_class,numberType,Unit,levels
Species,Species name,Character,na,na,Equus_greyvi; Equus_burchelli; Equus_burchelli_zambeziensis; Equus_burcelli_crowshayi; Equus_burchelli_chapmanni; Equus_burchelli_antiquorum
Year,Year in which the specimin was added to the museum's collection,Numeric,integer,na,na
Registration_no.,"Museim identification number, unique for each species",Numeric,na,na,na
Sex,Sex of the specimin,Character,na,na,Male; Female
Location,Location in which the  specimin was recorded,Character,na,na,
Length,total length of skull ,Numeric,real,mm,na
Width,Width of skull as measured from zygomatic arch to zygomatic arch,Numeric,real,mm,na
Tooth_p1_length,Length of p1 tooth,Numeric,real,mm,na
Tooth_p1_width,Width of p1 tooth,Numeric,real,mm,na
Observer,Name of observer making measurements,Character,na,na,JBJ; MG; JW; HL; JB
Date,Date of data collectio,Date,na,na,na
