species,year,reg_no,sex,location,skull_length,skull_width,tooth_p1_width,tooth_p1_length,observer,observation_date,comments
Equus_greyvi,1893,1893:12.1.2.,Female,Durhi,622,209,28.42,37.31,JBJ,2017/05/15,
Equus_greyvi,1893,1893:12.1.3.,Female,Durhi,601,210,23.04,39.36,JBJ,2017/05/15,
Equus_greyvi,1923,1923:10.20.16.,Male,Jubaland,621,211,25.85,37.38,HL,2017/05/15,
Equus_greyvi,1962,1962:8.17.4.,Male,Archers post,600,218,27.18,40.19,JB ,2017/05/15,
Equus_burchelli_antiquorum,1928,1928:9.11.420.,Male,Otjimbunela,550,201,24.45,33.18,JBJ,2017/05/15,
Equus_burchelli_antiquorum,1931,1931:2.1.54.,Female,Mogolea river,553,205,25.36,35.88,MG,2017/05/15,
Equus_burchelli_antiquorum,1931,1931:2.1.53.,Male,Mogolea river,529,204,25.16,35.61,JW,2017/05/15,
Equus_burchelli_chapmanni,1908,1908:3.4.1.,Male,Portoguese East Africa,523,201,23.13,32.06,MG,2017/05/15,
Equus_burchelli_chapmanni,1907,1907:10.25.1.,Male,Portoguese East Africa,503,192,24.28,35.39,JBJ,2017/05/15,
Equus_burchelli_crowshayi,1966,1966:415.,Female,"Doddieburn Ranch, Malabeleland, Zimbabwe",520,193,25.22,32.34,MG,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:414.,Male,"Doddieburn Ranch, Malabeleland, Zimbabwe",531,194,22.58,32.25,JW,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:413.,Female,"Doddieburn Ranch, Malabeleland, Zimbabwe",528,186,24.22,30.35,JB,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:412.,Male,"Doddieburn Ranch, Malabeleland, Zimbabwe",547,196,24.10,34.23,MG,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:408.,Male,"Doddieburn Ranch, Malabeleland, Zimbabwe",523,190,24.29,35.04,JB,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:409.,Male,"Doddieburn Ranch, Malabeleland, Zimbabwe",537,204,23.83,35.20,JW,2017/05/15,
Equus_burchelli_chapmanni,1966,1966:410.,Male,"Doddieburn Ranch, Malabeleland, Zimbabwe",558,NA,24.34,33.56,JW,2017/05/15,zygomatic arch missing
Equus_burchelli_chapmanni,1966,1966:411.,Female,"Doddieburn Ranch, Malabeleland, Zimbabwe",521,189,22.58,31.94,HL,2017/05/15,
Equus_burchelli,1971,1971:2121.,Female,"Dambosani, Dambo, Eastern Province, Gambia, Central Africa",540,193,24.85,32.51,HL,2017/05/15,
Equus_burchelli_zambeziensis,1967,1967:1273.,Male,Zambia,510,199,24.11,34.45,JB ,2017/05/15,
Equus_burchelli_zambeziensis,1962,1962:806.,Female,"Kafue, N.E. Rhodesia",519,185,20.20,32.00,JB,2017/05/15,
Equus_burchelli_zambeziensis,1962,1962:805.,Female,"Lochnivar ranch, Kafue river,Kafue, N.E. Rhodesia",520,185,25.13,34.53,JB,2017/05/15,
Equus_burchelli_crowshayi,1939,1939:4787.,Male,"Near Fort Jameson, N.E. Rhodesia",525,202,23.24,31.88,JBJ,2017/05/15,
Equus_burchelli_crowshayi,1966,1966:510,Male,"Kanjenjezi Hills. Port Jameson District, N.E. Rhodesia",528,204,23.04,33.32,MG,2017/05/15,
Equus_burchelli_crowshayi,1966,1966:804,Male,"Nyika Plateau, chiri valley, Lundazi district, zambia",536,198,24.38,37.33,HL,2017/05/15,
Equus_burchelli_crowshayi,1966,1966:802,Female,Pontoon. E.bank Luangwa river,521,193,23.89,34.45,MG,2017/05/15,pregnant
Equus_burchelli_crowshayi,1966,1966:799,Female,"East bank, Luangwa River, Lundazi district, Zambia",534,195,23.40,37.46,HL,2017/05/15,pregnant
Equus_burchelli_crowshayi,1966,1966:798,Male,"East bank, Luangwa River, Lundazi district, Zambia",520,190,23.1 ,32.7,JB ,2017/05/15,
Equus_burchelli_crowshayi,1899,1899:6.29.4.,Male,Zambia,526,198,24.41,35.37,MG,2017/05/15,
